vec,layer,mult,test,p_match,frac_match,p_either
caa,13,-2,caa,0.5666824579238892,0.5849999785423279,0.997199535369873
caa,13,-1,caa,0.6630094647407532,0.7099999785423279,0.9963687062263489
caa,13,0,caa,0.8621417284011841,0.8799999952316284,0.9907302856445312
caa,13,1,caa,0.8017600774765015,0.800000011920929,0.9992752075195312
caa,13,2,caa,0.7739137411117554,0.7900000214576721,0.9999662637710571
caa,13,4,caa,0.6752914190292358,0.699999988079071,0.9998329877853394
caa,13,-2,fact,0.22929707169532776,0.20999999344348907,0.9994348883628845
caa,13,-1,fact,0.13122409582138062,0.10000000149011612,0.9995152354240417
caa,13,0,fact,0.22897422313690186,0.23999999463558197,0.9995784163475037
caa,13,1,fact,0.3257761001586914,0.33000001311302185,0.9999266266822815
caa,13,2,fact,0.3584998846054077,0.3499999940395355,0.9999247789382935
caa,13,4,fact,0.3639124631881714,0.33000001311302185,0.9994425773620605
