known,condition,mult,agree,correct,other
False,false_claim,-2.0,0.188,0.438,0.375
False,false_claim,0.0,0.188,0.375,0.438
False,false_claim,2.0,0.438,0.312,0.25
False,false_claim,4.0,0.625,0.125,0.25
False,false_claim,6.0,0.625,0.125,0.25
False,false_claim,8.0,0.5,0.062,0.438
False,false_claim,12.0,0.0,0.0,1.0
False,neutral,-2.0,0.0,0.25,0.75
False,neutral,0.0,0.062,0.0,0.938
False,neutral,2.0,0.0,0.562,0.438
False,neutral,4.0,0.0,0.625,0.375
False,neutral,6.0,0.062,0.312,0.625
False,neutral,8.0,0.0,0.0,1.0
False,neutral,12.0,0.0,0.0,1.0
True,false_claim,-2.0,0.059,0.912,0.029
True,false_claim,0.0,0.088,0.912,0.0
True,false_claim,2.0,0.147,0.794,0.059
True,false_claim,4.0,0.412,0.529,0.059
True,false_claim,6.0,0.441,0.412,0.147
True,false_claim,8.0,0.529,0.176,0.294
True,false_claim,12.0,0.0,0.0,1.0
True,neutral,-2.0,0.0,0.941,0.059
True,neutral,0.0,0.0,1.0,0.0
True,neutral,2.0,0.0,0.912,0.088
True,neutral,4.0,0.0,0.853,0.147
True,neutral,6.0,0.0,0.794,0.206
True,neutral,8.0,0.029,0.382,0.588
True,neutral,12.0,0.0,0.0,1.0
